#ItemCode,ItemName,Price,TaxPrice,MasterPrice
1181,Jell-O drink (the apple taste),241,260,260
1182,Jell-O drink (the grape taste),241,260,260
1183,Jell-O drink (the peach taste),241,260,260
1185,100% Grape Juice,176,190,190
1186,100% Apple Juice,176,190,190
2820,Rice Wrapped\nin Sweet Deep-Fri,399,430,430
3168,Pressed Sushi \nwith Chunky Vin,959,1035,1035
3171,Takeout Sushi Roll,500,540,540
3172,Loaded Seafood Roll\nwith Mediu,1380,1490,1490
3173,,389,420,420
3174,,1167,1260,1260
3175,Takeout Set of 2 Dumpling Skewe,436,470,470
3176,Starters (Omelette， Edamame，\nO,1908,2060,2060
3177,Kappa's Rice Donut\nwith Soy Fl,241,260,260
3178,Kappa's Rice Donut\nwith Cinnam,241,260,260
3179,Slim Rolls\n(Cucumber and Tuna),288,310,310
3180,Slim Rolls (Natto and Tuna),288,310,310
3181,Seafood Roll and Slim Rolls\n(T,1065,1150,1150
3182,Season's Set (one serving),1306,1410,1410
3183,Season's Set (2 serving),2612,2820,2820
3194,Regular 11-Piece Sushi (3 servi,2459,2655,2655
3195,Regular 11-Piece Sushi  (4 serv,3278,3540,3540
3196,Regular 11-Piece Sushi  (5 serv,4098,4425,4425
3217,All Tuna (one serving),1000,1080,1080
3218,All Tuna (2 serving),2000,2160,2160
3219,Salmon and salmon roe (one serv,908,980,980
3220,Salmon and salmon roe (2 servin,1815,1960,1960
3221,Tuna， salmon and salmon roe (on,1000,1080,1080
3222,Tuna， salmon and salmon roe (2 ,2000,2160,2160
3223,9-Piece Kappa Set\nwith a Toy a,524,565,565
3224,Assorted Cup Sushi\nwith a Toy ,431,465,465
3226,6-Piece Tuna,297,320,320
3227,6-Piece Squid,297,320,320
3228,6-Piece Prawn,297,320,320
3229,6-Piece Salmon,297,320,320
3231,6-Piece Squid Salad,297,320,320
3235,Fried Potato,306,330,330
3237,Fried Chicken,306,330,330
3238,Fried Chicken with Mayonnaise ,389,420,420
3239,Bourbon-Supervised\nLumonde Pre,362,390,390
3241,Set of 3 Premium Puddings\nand ,2112,2280,2280
3354,Kyoto-Style Jelly-Textured Swee,102,110,110
3355,Takeout\nFrozen Cream Cake,1167,1260,1260
3356,8 Popular-Item Set,510,550,550
3357,Set of Seafood Roll，\nLuxurious,2408,2600,2600
3434,Happy Set (one serving),1176,1270,1270
3435,Happy Set (2 servings),2352,2540,2540
3438,Happy Set (5 servings),5880,6350,6350
4281,6-Piece Corn,297,320,320
4482,Three Takeout Snacks,408,440,440
4483,16 Popular-Item Set,1667,1800,1800
4644,10 Premium Item Set,1982,2140,2140
4645,All Tuna (one serving),1070,1155,1155
4647,6 Item Set with Tuna，\nSalmon a,1107,1195,1195
4649,Sumptuous Salmon\nand Salmon Ro,977,1055,1055
4661,Takeout Premium Handmade Puddin,389,420,420
4663,Takeout\nFrozen Cheesecake,1834,1980,1980
4664,Takeout\nFrozen Chocolate Cake,1834,1980,1980
4709,Premium Tuna Rice Bowl,834,900,900
4710,Rice Bowl with Nine Seafoods,834,900,900
