#ItemCode,ItemName,Price,TaxPrice,MasterPrice
1181,TOQooりんご,241,260,260
1182,TOQooぶどう,241,260,260
1183,TOQooもも,241,260,260
1185,TOグレープ果汁100％,176,190,190
1186,TOアップル果汁100％,176,190,190
2820,いなり玉子合盛り    ,399,430,430
3168,ＴＯ肉厚とろ〆鯖９切れ,959,1035,1035
3171,特選恵方巻,500,540,540
3172,豪華海鮮恵方巻,1380,1490,1490
3173,TOみたらし団子2本,389,420,420
3174,TOプリン2個みたらし2本,1167,1260,1260
3175,TO団子あんこみたらし,436,470,470
3176,秋のオードブル,1908,2060,2060
3177,TOシャリﾄﾞｰﾅﾂ5個きな粉,241,260,260
3178,TOシャリドーナツ5個ｼﾅﾓﾝ,241,260,260
3179,ちょい足し細巻ｶｯﾊﾟ・鉄火,288,310,310
3180,ちょい足し細巻納豆・鉄火,288,310,310
3181,特選恵方 鉄火2ｶｯﾊﾟ1納豆1,1065,1150,1150
3182,秋の彩り1人前,1306,1410,1410
3183,秋の彩り2人前,2612,2820,2820
3194,お手頃11種セット3人前,2459,2655,2655
3195,お手頃11種セット4人前,3278,3540,3540
3196,お手頃11種セット5人前,4098,4425,4425
3217,まぐろセット　１人前,1000,1080,1080
3218,まぐろセット　２人前,2000,2160,2160
3219,ｻｰﾓﾝいくらｾｯﾄ1人前,908,980,980
3220,ｻｰﾓﾝいくらｾｯﾄ2人前,1815,1960,1960
3221,まぐろｻｰﾓﾝいくらｾｯﾄ1人前,1000,1080,1080
3222,まぐろｻｰﾓﾝいくらｾｯﾄ2人前,2000,2160,2160
3223,にぎり9貫おもちゃゼリー,524,565,565
3224,カップちらし寿司おもちゃ,431,465,465
3226,ちょい足し寿司　まぐろ,297,320,320
3227,ちょい足し寿司　いか,297,320,320
3228,ちょい足し寿司　えび,297,320,320
3229,ちょい足し寿司　ｻｰﾓﾝ,297,320,320
3231,ちょい足し寿司　ｻﾗﾀﾞ,297,320,320
3235,TOポテト ケチャップ,306,330,330
3237,TOとり唐揚げ,306,330,330
3238,TO特盛とり唐揚げマヨ,389,420,420
3239,TOルマンドﾌﾟﾚﾐｱﾑプリン,362,390,390
3241,TOBOXﾌﾟﾘﾝ3ﾙﾏﾝド3,2112,2280,2280
3354,TO京わらび餅,102,110,110
3355,TO冷凍クリームケーキ6個,1167,1260,1260
3356,厳選ネタ8貫セット,510,550,550
3357,特選と豪華海鮮とプリン2,2408,2600,2600
3434,人気11種セット1人前,1176,1270,1270
3435,人気11種セット2人前,2352,2540,2540
3438,人気11種セット5人前,5880,6350,6350
4281,ちょい足し寿司コーン,297,320,320
4482,TO３種のおつまみ,408,440,440
4483,バラエティ16貫セット,1667,1800,1800
4644,特上10貫セット,1982,2140,2140
4645,まぐろ尽くし6種1人前,1070,1155,1155
4647,鮪ｻｰﾓﾝいくら6種1人前,1107,1195,1195
4649,ｻｰﾓﾝいくら尽くしｾｯﾄ1人前,977,1055,1055
4661,TOプレミアムプリン,389,420,420
4663,TO冷凍チーズケーキ6個,1834,1980,1980
4664,TO冷凍チョコレートｹｰｷ6個,1834,1980,1980
4709,TOまぐろづくし丼,834,900,900
4710,TO9種の海鮮丼,834,900,900
4716,TO贅沢大えび天丼,834,900,900
4717,TO贅沢うにいくら丼,1834,1980,1980
4718,TO鯛スープの塩ラーメン,463,500,500
4825,TO小なす浅漬け（袋）,639,690,690
4840,TOポテト(のりしお),454,490,490
4841,TOポテト(コンソメ),454,490,490
4843,にぎわい11種1人前,852,920,920
4844,にぎわい11種2人前,1704,1840,1840
4848,極み11種1人前,1704,1840,1840
4849,極み11種2人前,3408,3680,3680
4858,人気ネタ16貫セット,1362,1470,1470
4859,人気ネタ9貫セット,547,590,590
4860,贅沢いくらちらし,2130,2300,2300
4861,厳選海鮮ばらちらし,732,790,790
4862,まぐろ鉄火ちらし,723,780,780
4863,いくらサーモンちらし,1380,1490,1490
4864,おこさまちらし,389,420,420
6004,サーモン,100,110,110
6006,1貫)ｳﾅｷﾞ炙り青葱山椒,137,150,150
6007,▼▼1貫)活〆真鯛うにのせ,264,290,290
6010,えび,100,110,110
6011,▼▼夏ｽﾀﾐﾅ炙ﾘ3種食べ比べ,264,290,290
6013,▼▼▼ひつまぶし押し寿司,391,430,430
6014,うなぎ茶碗蒸し,355,390,390
6017,▼▼1貫)ひらめ,191,210,210
6018,▼▼1貫)ひらめ天,210,230,230
6022,1貫)コノシロ酢〆生姜,100,110,110
6024,煮穴子,173,190,190
6026,1貫)刻みえんがわ大葉包み,146,160,160
6027,▼▼鮪ぶつﾁｬﾝｼﾞｬ和え軍艦,210,230,230
6029,□特盛贅沢軍艦三昧,628,690,690
6033,オニオンサーモン,137,150,150
6035,玉子,100,110,110
6039,オニオンサーモンマヨ,137,150,150
6042,鳥中華らーめん,491,540,540
6047,▼▼▼1貫)ふくいサーモン,191,210,210
6053,1貫)まぐろぶつ大葉包み,100,110,110
6054,□極み贅沢秋の五貫,1219,1340,1340
6055,□極み贅沢秋の七貫,1746,1920,1920
6060,まぐろ,100,110,110
6061,▼▼▼1貫ふくいｻｰﾓﾝ塩炙,228,250,250
6063,1貫)包まぐろぶつたく大葉,100,110,110
6064,まいたけ天にぎり,100,110,110
6071,▼▼▼ふくいｻｰﾓﾝｲｸﾗ軍艦,328,360,360
6072,▼▼▼1貫ｻｰﾓﾝ押し寿司,237,260,260
6073,まいたけ餡かけ茶碗蒸し,300,330,330
6078,1貫)ﾊﾏﾁﾊﾗﾐごまみそ,173,190,190
6079,▼▼▼1貫ｻｰﾓﾝ押しﾏﾖ塩炙,273,300,300
6080,ﾅｽ揚げひたし ごまみそ,119,130,130
6082,1貫)ｶﾂｵﾀﾀｷ柚子胡椒仕立て,119,130,130
6084,炙り〆にしん,137,150,150
6085,炙り〆にしん（大葉）,137,150,150
6086,1貫)うなぎ,173,190,190
6087,ﾐﾆｱｻｲｰﾎﾞｳﾙはちみつ抜き,328,360,360
6088,▼▼1貫)炙りうなぎ,210,230,230
6091,びん長まぐろ,100,110,110
6093,野菜かき揚げうどん,391,430,430
6094,▼▼▼1貫ﾌｸｲｻｰﾓﾝ天ポン酢,210,230,230
6095,ねぎとろザク旨ラー油,137,150,150
6096,1貫包みﾈｷﾞﾄﾛたく大葉,100,110,110
6099,1貫)キス天にぎり,119,130,130
6100,サラダザク旨ラー油にぎり,137,150,150
6105,1貫)真さば竜田揚げにぎり,100,110,110
6106,スルメイカゲソ天2個,191,210,210
6107,ごま大葉いなり,100,110,110
6108,1貫)刻みえんがわ炙り包み,128,140,140
6110,1貫)真さば竜田揚ﾏﾖにぎり,100,110,110
6111,▼▼▼えんがわ二枚重ね,355,390,390
6113,▼アボカドえび,191,210,210
6114,▼韓国風キンパ中巻,191,210,210
6115,▼大切りまぐろ,173,190,190
6117,合鴨ﾛｰｽと柚子の茶碗蒸し,300,330,330
6118,▼大切りまぐろ食べ比べ,191,210,210
6119,1貫)豚タン塩ダレ,100,110,110
6120,▼1貫)赤えび,191,210,210
6121,1貫)豚タン塩ダレ大葉,100,110,110
6122,▼アボカドサーモン,191,210,210
6124,▼塩炙りとろサーモン,228,250,250
6125,▼大切りサーモン,173,190,190
6127,鯛ｽｰﾌﾟの塩ﾗｰﾒﾝ,391,430,430
6128,▼甲いか,210,230,230
6131,オクラいかめかぶ軍艦,100,110,110
6135,1貫)オクラいかめかぶ軍艦,50,55,55
6136,▼1貫)はまちはらみ,173,190,190
6137,1貫)豚タン塩ダレ炙り,137,150,150
6138,オクラいかめかぶ納豆軍艦,100,110,110
6139,▼▼活〆はまち,191,210,210
6140,▼大切りサーモン食べ比べ,191,210,210
6144,ふわもちあずき団子,237,260,260
6145,はまちサーモン二種盛り,150,165,165
6146,1貫)包み釜揚しらす大葉,100,110,110
6147,ちょこっとまいたけ天盛り,100,110,110
6149,1貫)ｵｸﾗｲｶめかぶ納豆軍艦,50,55,55
6150,きゅうりｽﾗｲｽ＆かにｶﾏ小鉢,100,110,110
6151,はまち・いか二種盛り,150,165,165
6153,はまち・えび二種盛り,150,165,165
6154,1貫)塩炙りのどぐろ,100,110,110
6159,はまち・えんがわ二種盛り,196,215,215
6160,鯛ｽｰﾌﾟ塩ﾗｰﾒﾝ追い麺ｱｵｻ,600,660,660
6161,ﾐﾆｱｻｲｰﾎﾞｳﾙはちみつ,328,360,360
6162,おこさまﾊﾟﾝｹｰｷ（2枚）,283,311,311
6163,おこさまうどん,172,189,189
6165,大えびと秋野菜天のうどん,537,590,590
6166,▼▼▼1貫)炙り上煮穴子,355,390,390
6169,舞茸と牛肉の米粉入フォー,446,490,490
6171,しょうが（カップ）,0,0,0
6172,みそだれ（小袋）,28,30,30
6174,えび天にぎりチリソース,155,170,170
6178,あかいかゲソﾁﾘｿｰｽ天かす,137,150,150
6179,サーモントマト塩ジュレ,137,150,150
6181,なすの揚げびたし,119,130,130
6183,シャリドーナツきな粉2個,100,110,110
6184,ﾄﾛﾛなす揚げびたし,119,130,130
6186,さんが大葉天にぎり,191,210,210
6187,シャリﾄﾞｰﾅﾂシナモン2個,100,110,110
