#ItemCode,ItemName,Price,TaxPrice,MasterPrice
1181,?????(???),241,260,260
1182,?????(???),241,260,260
1183,?????(??? ?),241,260,260
1185,???? ?? 100％,176,190,190
1186,???? ?? 100％,176,190,190
2820,???????? ?? ??,399,430,430
3168,??? ??? ???????,959,1035,1035
3171,??? ???? ?? ?? ???,500,540,540
3172,???? ??? ???-???? ??? ??-,1380,1490,1490
3173,,389,420,420
3174,,1167,1260,1260
3175,??? ?????? 2? ??(??， ????),436,470,470
3176,?? ?????? ??? ????，???， ????，??,1908,2060,2060
3177,??? ??? ????? ??-???- 5?,241,260,260
3178,??? ??? ????? ??-??? ??-5?,241,260,260
3179,?? ???，?? ?? ???,288,310,310
3180,?? ???，?? ?? ???,288,310,310
3181,?? ?? ??? 2?，?? ??? 1?，?? ??? 1,1065,1150,1150
3182,?? ?? ?? 1??,1306,1410,1410
3183,?? ?? ?? 2??,2612,2820,2820
3194,?? ?? 11? 3??,2459,2655,2655
3195,?? ?? 11? 4??,3278,3540,3540
3196,?? ?? 11? 5??,4098,4425,4425
3217,?? ?? ?? 1??,1000,1080,1080
3218,?? ?? ?? 2??,2000,2160,2160
3219,??? ?? 1??,908,980,980
3220,??? ?? 2??,1815,1960,1960
3221,??， ??， ??? 1??,1000,1080,1080
3222,??， ??， ??? 2??,2000,2160,2160
3223,?? ?? 9?，???，?? ??,524,565,565
3224,? ?????，???，?? ??,431,465,465
3226,?? ?? 6?,297,320,320
3227,??? ?? 6?,297,320,320
3228,?? ?? 6?,297,320,320
3229,?? ?? 6?,297,320,320
3231,??? ??? ?? 6?,297,320,320
3235,????,306,330,330
3237,???,306,330,330
3238,??? - ????-,389,420,420
3239,??? ??? ??? ????? ???? ??,362,390,390
3241,???? ?? 3?，??? ?? ??????? ?? 3?,2112,2280,2280
3354,?? ????,102,110,110
3355,??? ???? ???? ?? ???,1167,1260,1260
3356,?? ?? 8? ??,510,550,550
3357,?? ???，?????? ???＆???? ????,2408,2600,2600
3434,?? ?? 1??,1176,1270,1270
3435,?? ?? 2??,2352,2540,2540
3438,?? ?? 5??,5880,6350,6350
4281,??? ???? 6?,297,320,320
4482,??? ???? 3?? ,408,440,440
4483,?? ?? 16? ??,1667,1800,1800
4644,?? 10? ??,1982,2140,2140
4645,?? ?? ?? 1??,1070,1155,1155
4647,?? ??，?? ??， ????? ?? 6??? 1??,1107,1195,1195
4649,?? ??， ????? ?? 1??,977,1055,1055
4661,??? ?? ???? ??,389,420,420
4663,??? ???? ???? ?? ???,1834,1980,1980
4664,??? ???? ???? ??? ???,1834,1980,1980
4709,???? ????,834,900,900
4710,??? 9?? ??,834,900,900
4716,??? ??????? ? ???? ??,834,900,900
4717,??? ??????? ??? ??? ??,1834,1980,1980
4718,?? ?? ?? ??,463,500,500
4825,? ?? ??????,639,690,690
4840,??? ??????(????),454,490,490
4841,??? ??????(????),454,490,490
4843,?? ?? 1??,852,920,920
4844,?? ?? 2??,1704,1840,1840
4848,?? ?? 1??,1704,1840,1840
4849,?? ?? 2??,3408,3680,3680
4858,?? ?? 16? ??,1362,1470,1470
4859,?? ?? 9? ??,547,590,590
4860,??? ?????,2130,2300,2300
4861,??? ???????,732,790,790
4862,?? ?????,723,780,780
4863,??? ?? ?????,1380,1490,1490
4864,???? ?????,389,420,420
6004,?? ??,100,110,110
6006,? ?? ?????? ??,137,150,150
6007,??? ?? ?? ???? ??,264,290,290
6010,?? ??,100,110,110
6011,?? ?? 3? ??(??? ???? ??，?????? ,264,290,290
6013,???? ????,391,430,430
6014,?? ???,355,390,390
6017,?? ??,191,210,210
6018,???? ??,210,230,230
6022,?? ???? ??? ??,100,110,110
6024,?? ??? ??,173,190,190
6026,?? ? ???????? ? ???,146,160,160
6027,?? ?? ???????,210,230,230
6029,???? 3? ??(???，?? ??，???),628,690,690
6033,?? ?? ??,137,150,150
6035,???? ??,100,110,110
6039,?? ?? ??(????),137,150,150
6042,???? ?? ??? ?????? ?? ??? ??,491,540,540
6047,? ??? ?? ??,191,210,210
6053,?? ????? ? ? ??,100,110,110
6054,?? 5? ??(???，?? ?? ? ?? ????，??,1219,1340,1340
6055,?? 7? ??(???，??? ?? ??，?? ?? ? ,1746,1920,1920
6060,?? ??,100,110,110
6061,? ??? ?????? ??,228,250,250
6063,?? ?? ?????? ? ? ??,100,110,110
6064,?????? ??,100,110,110
6071,??? ?? ???????,328,360,360
6072,?? ??? ?? ????,237,260,260
6073,??????? ???? ?????,300,330,330
6078,????? ???? ?? ???? ??,173,190,190
6079,?? ??? ?????? ???? ????,273,300,300
6080,????? ???? ?? ?? ??,119,130,130
6082,?? ?? ?????? ??? ???? ??,119,130,130
6084,?? ??? ?? ??,137,150,150
6085,?? ??? ?? ??? ? ??,137,150,150
6086,?? ??,173,190,190
6087,?? ????(? ??),328,360,360
6088,???? ??,210,230,230
6091,????? ??,100,110,110
6093,???? ??,391,430,430
6094,?? ?? ????? ???? ??,210,230,230
6095,?? ?????? ??,137,150,150
6096,?? ?? ?????? ? ???,100,110,110
6099,????? ??,119,130,130
6100,??????? ??,137,150,150
6105,???? ???? ?? ??,100,110,110
6106,????????? ????-????，????- 2?,191,210,210
