#ItemCode,ItemName,Price,TaxPrice,MasterPrice
141,アジ,140,154,154
154,活あわび,820,902,902
2001,若竹五点盛,360,396,396
2002,ニボサバ,190,209,209
2003,ニシン,180,198,198
2005,琉球カンパチ,200,220,220
2006,ビントロ,180,198,198
2007,雄昇イサキ,200,220,220
2008,長崎鮮魚3点盛り,290,319,319
2009,白鉄火,270,297,297
2010,煮ハマグリ握り,300,330,330
2011,ヤリイカ,120,132,132
2012,石垣貝,140,154,154
2014,生本マグロ 鉄火巻,220,242,242
2015,生本マグロ 赤身,180,198,198
2016,生本マグロ 中トロ,250,275,275
2017,生本マグロ 大トロ,320,352,352
2018,中トロ鉄火巻,220,242,242
2019,大トロ,250,275,275
2302,大人のいなり,120,132,132
2303,お魚天ぷら握り,150,165,165
2304,新茶葉の天ぷら,300,330,330
2308,椎茸フライ,190,209,209
2309,キス天,170,187,187
2310,キス天盛り合わせ,340,374,374
2311,もっちーず,160,176,176
2312,タコの唐揚げ,280,308,308
2313,ブリの唐揚げ,280,308,308
2314,馬タンスモーク握り,220,242,242
2319,羅臼昆布天ぷら,150,165,165
2320,サーモン腹身唐揚げ,200,220,220
2321,サーモンの唐揚げ,250,275,275
2326,おすすめ(メインのみ)KD:表示,0,0,0
2340,わさび小袋,0,0,0
2402,大ズワイカニ味噌汁,380,418,418
2403,和栗モンブラン,370,407,407
2404,アイスイチゴソース,280,308,308
2405,アイスミックスソース,280,308,308
2500,おすすめ(メインのみ)KD:非表示,0,0,0
